reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_207_MAN_CA11_1,207_MAN_CA11,"Crumpsall Green conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004009
D_207_MAN_CA11_2,207_MAN_CA11,"Crumpsall Green conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12615/crumpsall_green_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004009
D_207_MAN_CA12_1,207_MAN_CA12,"Crumpsall Lane Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004011
D_207_MAN_CA12_2,207_MAN_CA12,"Crumpsall Lane Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12616/crumpsall_lane_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004011
D_207_MAN_CA13_1,207_MAN_CA13,"Deansgate/Peter Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004021
D_207_MAN_CA13_2,207_MAN_CA13,"Deansgate/Peter Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12617/deansgate_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004021
D_207_MAN_CA14_1,207_MAN_CA14,"Didsbury St James Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004022
D_207_MAN_CA14_2,207_MAN_CA14,"Didsbury St James Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12618/didsbury_st_james_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004022
D_207_MAN_CA15_1,207_MAN_CA15,"George Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004023
D_207_MAN_CA15_2,207_MAN_CA15,"George Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12619/george_street_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004023
D_207_MAN_CA16_1,207_MAN_CA16,"Gore Brook Valley Conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004024
D_207_MAN_CA16_2,207_MAN_CA16,"Gore Brook Valley Conservation area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12678/gore_brook_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004024
D_207_MAN_CA17_1,207_MAN_CA17,"Graver Lane Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004039
D_207_MAN_CA17_2,207_MAN_CA17,"Graver Lane Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12680/newton_heath_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004039
D_207_MAN_CA18_1,207_MAN_CA18,"Northenden Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004025
D_207_MAN_CA18_2,207_MAN_CA18,"Northenden Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12681/northenden_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004025
D_207_MAN_CA19_1,207_MAN_CA19,"Old Broadway Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004026
D_207_MAN_CA19_2,207_MAN_CA19,"Old Broadway Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12682/old_broadway_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004026
D_207_MAN_CA20_1,207_MAN_CA20,"Parsonage Gardens Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004027
D_207_MAN_CA20_2,207_MAN_CA20,"Parsonage Gardens Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12683/parsonage_road_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004027
D_207_MAN_CA21_1,207_MAN_CA21,"Rushford Park Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004028
D_207_MAN_CA21_2,207_MAN_CA21,"Rushford Park Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12684/rushford_park_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004028
D_207_MAN_CA22_1,207_MAN_CA22,"Shudehill Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004029
D_207_MAN_CA22_2,207_MAN_CA22,"Shudehill Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12685/shudehill_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004029
D_207_MAN_CA23_1,207_MAN_CA23,"Smithfield Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004030
D_207_MAN_CA23_2,207_MAN_CA23,"Smithfield Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12686/smithfield_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004030
D_207_MAN_CA24_1,207_MAN_CA24,"St Ann's Square Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004031
D_207_MAN_CA24_2,207_MAN_CA24,"St Ann's Square Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12687/st_anns_square_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004031
D_207_MAN_CA25_1,207_MAN_CA25,"St John Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004032
D_207_MAN_CA25_2,207_MAN_CA25,"St John Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12688/st_john_street_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004032
D_207_MAN_CA26_1,207_MAN_CA26,"St Peter's Square Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004033
D_207_MAN_CA26_2,207_MAN_CA26,"St Peter's Square Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12694/st_peters_square_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004033
D_207_MAN_CA27_1,207_MAN_CA27,"Stevenson Square Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004034
D_207_MAN_CA27_2,207_MAN_CA27,"Stevenson Square Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12695/stevenson_square_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004034
D_207_MAN_CA28_1,207_MAN_CA28,"Upper King Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004035
D_207_MAN_CA28_2,207_MAN_CA28,"Upper King Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12696/upper_king_street_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004035
D_207_MAN_CA29_1,207_MAN_CA29,"Victoria Park Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004036
D_207_MAN_CA29_2,207_MAN_CA29,"Victoria Park Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12697/victoria_park_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004036
D_207_MAN_CA30_1,207_MAN_CA30,"Whalley Range Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004037
D_207_MAN_CA30_2,207_MAN_CA30,"Whalley Range Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12698/whalley_range_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004037
D_207_MAN_CA31_1,207_MAN_CA31,"Whitworth Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004038
D_207_MAN_CA31_2,207_MAN_CA31,"Whitworth Street Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12699/whitworth_street_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004038
D_207_MAN_CA32_1,207_MAN_CA32,"Withington Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps","No appraisal document",area-appraisal,"Appraisal document is a web page",local-authority:MAN,,,,44004007
D_207_MAN_CA32_2,207_MAN_CA32,"Withington Conservation Area","https://www.manchester.gov.uk/downloads/download/3790/conservation_area_maps",https://www.manchester.gov.uk/download/downloads/id/12700/withington_conservation_area_map.pdf,area-map,"Appraisal document is a web page",local-authority:MAN,,,,44004007
