reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_3_Q6670544_CA1_1,3_Q6670544_CA1,"Fish Island and White Post Lane Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas","https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/Fish%20Island%20and%20White%20Post%20Lane%20Conservation%20Area%20Appraisal%20V2.pdf",area-appraisal,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44006543
D_3_Q6670544_CA1_2,3_Q6670544_CA1,"Fish Island and White Post Lane Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas",https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/Hackney%20Wick%20and%20Fish%20Island%20and%20White%20Post%20Lane%20Conservation%20Area%20boundaries%20new.pdf,area-map,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44006543
D_3_Q6670544_CA2_1,3_Q6670544_CA2,"Hackney Wick Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas","https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/Hackney%20Wick%20Conservation%20Area%20Appraisal%20V2.pdf",area-appraisal,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44006235
D_3_Q6670544_CA2_2,3_Q6670544_CA2,"Hackney Wick Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas",https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/Hackney%20Wick%20and%20Fish%20Island%20and%20White%20Post%20Lane%20Conservation%20Area%20boundaries%20new%20%281%29.pdf,area-map,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44006235
D_3_Q6670544_CA3_1,3_Q6670544_CA3,"St. Johns Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas","https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/StratfordStJohnsConservationAreaAppraisal.pdf",area-appraisal,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44003423
D_3_Q6670544_CA3_2,3_Q6670544_CA3,"St. Johns Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas",https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/StratfordStJohnsConservationAreamap.pdf,area-map,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44003423
D_3_Q6670544_CA4_1,3_Q6670544_CA4,"Sugar House Lane Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas","https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/SugarHouseLaneConservationareaAppraisaLandManagementPlan.pdf",area-appraisal,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44003422
D_3_Q6670544_CA4_2,3_Q6670544_CA4,"Sugar House Lane Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas",https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/SugarHouseLane_CA_boundary.pdf,area-map,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44003422
D_3_Q6670544_CA5_1,3_Q6670544_CA5,"Three Mills Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas","https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/Three%20Mills%20Conservation%20Area%20Appraisal%20and%20Management%20Guidelines.pdf",area-appraisal,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44003455
D_3_Q6670544_CA5_2,3_Q6670544_CA5,"Three Mills Conservation Area","https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy/conservation-areas",https://www.queenelizabetholympicpark.co.uk/sites/default/files/attachments/Three%20Mills%20Conservation%20Area%20Boundary.pdf,area-map,"Webpage likes to put tracking in URLsExtra documents are available. ",development-corporation:Q6670544,,,,44003455
