entity,name,dataset,organisation,website
600003,Aycliffe and Peterlee Development Corporation,development-corporation,development-corporation:Q105544651,
600004,Basildon Development Corporation,development-corporation,development-corporation:Q105544654,
600007,Telford Development Corporation,development-corporation,development-corporation:Q105544669,
4700006,Stockport Town Centre West Mayoral Development Corporation,development-corporation,development-corporation:Q115585981,https://www.stockportmdc.co.uk/
4700001,Middlesbrough Development Corporation,development-corporation,development-corporation:Q117149370,https://teesvalley-ca.gov.uk/about/middlesbrough-development-corporation/
4700002,Hartlepool Development Corporation,development-corporation,development-corporation:Q124604981,https://teesvalley-ca.gov.uk/about/hartlepool-development-corporation/
1,Old Oak and Park Royal Development Corporation,development-corporation,development-corporation:Q20648596,https://www.london.gov.uk/about-us/organisations-we-work/old-oak-and-park-royal-development-corporation-opdc
600006,London Docklands Development Corporation,development-corporation,development-corporation:Q3258953,
4700007,Merseyside Development Development Corporation,development-corporation,development-corporation:Q3920908,
2,Birmingham Heartlands Development Corporation,development-corporation,development-corporation:Q4916714,
4700004,Bristol Development Corporation,development-corporation,development-corporation:Q4968888,
600005,Central Manchester Development Corporation,development-corporation,development-corporation:Q5061392,
4700005,Crawley Development Corporation,development-corporation,development-corporation:Q5182976,
4700003,Leeds Development Corporation,development-corporation,development-corporation:Q6515953,
3,London Legacy Development Corporation,development-corporation,development-corporation:Q6670544,https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy
4,London Thames Gateway Development Corporation,development-corporation,development-corporation:Q6670837,http://www.ltgdc.org.uk/
4700008,Milton Keynes Development Development Corporation,development-corporation,development-corporation:Q6861239,
4700009,Peterborough Development Development Corporation,development-corporation,development-corporation:Q7177999,
4700010,Plymouth Development Development Corporation,development-corporation,development-corporation:Q7205796,
5,South Tees Development Corporation,development-corporation,development-corporation:Q72456968,https://www.southteesdc.com
6,Ebbsfleet Development Corporation,development-corporation,development-corporation:Q72463795,https://ebbsfleetdc.org.uk
4700000,Teesside Development Corporation,development-corporation,development-corporation:Q7694573,
7,Thurrock Thames Gateway Development Corporation,development-corporation,development-corporation:Q7799380,https://www.gov.uk/government/organisations/thurrock-thames-gateway-development-corporation
4700011,Trafford Park Development Corporation,development-corporation,development-corporation:Q7832579,
8,Tyne and Wear Development Corporation,development-corporation,development-corporation:Q7860503,
9,West Northamptonshire Development Corporation,development-corporation,development-corporation:Q7986087,https://www.gov.uk/government/organisations/the-west-northamptonshire-development-corporation
600001,"Ministry of Housing, Communities & Local Government",government-organisation,government-organisation:D1342,https://www.gov.uk/government/organisations/ministry-of-housing-communities-local-government
10,Office for National Statistics,government-organisation,government-organisation:D303,https://www.ons.gov.uk
11,Ordnance Survey,government-organisation,government-organisation:D38,https://www.gov.uk/government/organisations/ordnance-survey
12,"Ministry of Housing, Communities and Local Government",government-organisation,government-organisation:D4,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government
600012,Department for Education,government-organisation,government-organisation:D6,https://www.gov.uk/government/organisations/department-for-education
13,HM Land Registry,government-organisation,government-organisation:D69,https://www.gov.uk/government/organisations/land-registry
600002,"Department for Environment, Food & Rural Affairs",government-organisation,government-organisation:D7,https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
600011,Forestry Commission,government-organisation,government-organisation:D85,https://www.gov.uk/government/organisations/forestry-commission
600010,Department for Transport,government-organisation,government-organisation:D9,https://www.gov.uk/government/organisations/department-for-transport
600009,Environment Agency,government-organisation,government-organisation:EA199,https://www.gov.uk/government/organisations/environment-agency
14,Planning Inspectorate,government-organisation,government-organisation:EA39,https://www.gov.uk/government/organisations/planning-inspectorate
15,Valuation Office Agency,government-organisation,government-organisation:EA87,https://www.gov.uk/government/organisations/valuation-office-agency
16,Historic England,government-organisation,government-organisation:PB1164,https://historicengland.org.uk
17,Valuation Tribunal for England,government-organisation,government-organisation:PB1204,https://www.gov.uk/government/organisations/valuation-tribunal-for-england
18,Regulator of Social Housing,government-organisation,government-organisation:PB1218,https://www.gov.uk/government/organisations/regulator-of-social-housing
19,Homes England,government-organisation,government-organisation:PB1232,https://www.gov.uk/government/organisations/homes-england
20,Building Regulations Advisory Committee,government-organisation,government-organisation:PB160,https://www.gov.uk/government/organisations/building-regulations-advisory-committee
501910,Natural England,government-organisation,government-organisation:PB202,https://www.gov.uk/government/organisations/natural-england
21,Health and Safety Executive,government-organisation,government-organisation:PB207,https://www.gov.uk/government/organisations/health-and-safety-executive
22,Housing Ombudsman,government-organisation,government-organisation:PB372,https://www.housing-ombudsman.org.uk
23,Leasehold Advisory Service,government-organisation,government-organisation:PB373,https://www.gov.uk/government/organisations/leasehold-advisory-service
24,Valuation Tribunal Service,government-organisation,government-organisation:PB375,https://www.gov.uk/government/organisations/valuation-tribunal-service-for-england-valuation-tribunal-service
25,Architects Registration Board,government-organisation,government-organisation:PC163,https://www.gov.uk/government/organisations/architects-registration-board
26,Adur District Council,local-authority,local-authority:ADU,https://www.adur-worthing.gov.uk
27,Allerdale Borough Council,local-authority,local-authority:ALL,https://www.allerdale.gov.uk
28,Amber Valley Borough Council,local-authority,local-authority:AMB,https://www.ambervalley.gov.uk
29,Arun District Council,local-authority,local-authority:ARU,https://www.arun.gov.uk
30,Ashford Borough Council,local-authority,local-authority:ASF,https://www.ashford.gov.uk
31,Ashfield District Council,local-authority,local-authority:ASH,https://www.ashfield.gov.uk
32,Aylesbury Vale District Council,local-authority,local-authority:AYL,https://www.aylesburyvaledc.gov.uk
33,Babergh District Council,local-authority,local-authority:BAB,https://www.babergh.gov.uk
34,Bassetlaw District Council,local-authority,local-authority:BAE,https://www.bassetlaw.gov.uk
35,Basildon Borough Council,local-authority,local-authority:BAI,https://www.basildon.gov.uk
36,Basingstoke and Deane Borough Council,local-authority,local-authority:BAN,https://www.basingstoke.gov.uk
37,Barrow-in-Furness Borough Council,local-authority,local-authority:BAR,https://www.barrowbc.gov.uk
38,Bath and North East Somerset Council,local-authority,local-authority:BAS,https://www.bathnes.gov.uk
39,Blackburn with Darwen Borough Council,local-authority,local-authority:BBD,https://www.blackburn.gov.uk
40,Bedford Borough Council,local-authority,local-authority:BDF,https://www.bedford.gov.uk
41,London Borough of Barking and Dagenham,local-authority,local-authority:BDG,https://www.lbbd.gov.uk
42,London Borough of Brent,local-authority,local-authority:BEN,https://www.brent.gov.uk
